coors
"(488, 253.66535502160352)"
"(487, 253.50505717264988)"
"(486, 253.35053872850787)"
"(485, 253.20158488195668)"
"(480, 252.5329894260478)"
"(479, 252.4130902008403)"
"(471, 251.58772689245527)"
"(470, 251.49859817771105)"
"(464, 251.01178628860654)"
"(463, 250.93719089579938)"
"(455, 250.38168477536894)"
"(454, 250.3154006944262)"
"(447, 249.85278515547563)"
"(446, 249.78555881508166)"
"(441, 249.43850052759373)"
"(440, 249.36624674912693)"
"(434, 248.9055978308863)"
"(433, 248.82356916275623)"
"(426, 248.1981840011001)"
"(425, 248.10078942573475)"
"(420, 247.58007982285264)"
"(419, 247.4688605499957)"
"(413, 246.748587783891)"
"(412, 246.6193955401429)"
"(407, 245.93253869507564)"
"(406, 245.7868319408237)"
"(401, 245.01568354767025)"
"(400, 244.85284751061064)"
"(394, 243.81503424686954)"
"(393, 243.63191942201522)"
"(389, 242.87058840429765)"
"(388, 242.67307585036744)"
"(383, 241.6430106015284)"
"(382, 241.42860419000655)"
"(377, 240.31566405604846)"
"(376, 240.08505576757327)"
"(372, 239.1367674804571)"
"(371, 238.8933794853917)"
"(367, 237.89553408699723)"
"(366, 237.6401744402385)"
"(362, 236.59626920168304)"
"(361, 236.3298761765479)"
"(357, 235.24390616918365)"
"(356, 234.96753672068846)"
"(353, 234.12746585973375)"
"(352, 233.8439486692184)"
"(348, 232.69374187513696)"
"(347, 232.4024130329578)"
"(344, 231.52020900724867)"
"(343, 231.22358316484608)"
"(338, 229.72378346996285)"
"(337, 229.42088983187043)"
"(334, 228.5073932382763)"
"(333, 228.20148766895883)"
"(330, 227.2803959236937)"
"(329, 226.97244400397582)"
"(325, 225.73767856397964)"
"(324, 225.42856018491577)"
"(322, 224.81025186591157)"
"(321, 224.5011887457235)"
"(317, 223.26703071389804)"
"(316, 222.95933494518087)"
"(313, 222.03930049936454)"
"(312, 221.73385456188132)"
"(309, 220.82211509739452)"
"(308, 220.51994930060275)"
"(306, 219.91862440538713)"
"(305, 219.6195935659068)"
"(302, 218.72979448940302)"
"(301, 218.4358381237066)"
"(299, 217.85227037341403)"
"(298, 217.56278490554743)"
"(296, 216.98872372614957)"
"(295, 216.70427237377973)"
"(292, 215.86197500038654)"
"(291, 215.58509829649753)"
"(290, 215.31026698720754)"
"(289, 215.0375409971252)"
"(286, 214.2325878300505)"
"(285, 213.96887375612457)"
"(283, 213.44869773403454)"
"(282, 213.19234955614863)"
"(280, 212.68741322729463)"
"(279, 212.43893551699736)"
"(277, 211.9502326259146)"
"(276, 211.71011422393528)"
"(274, 211.23860555836697)"
"(273, 211.0073180794602)"
"(271, 210.55392848003677)"
"(270, 210.33192481782154)"
"(269, 210.11311295309312)"
"(268, 209.897540187746)"
"(266, 209.47629712367845)"
"(265, 209.27071733427303)"
"(263, 208.8698610954186)"
"(262, 208.67466994288313)"
"(260, 208.29496797996646)"
"(259, 208.11053692184166)"
"(258, 207.929770709321)"
"(257, 207.7527067836613)"
"(255, 207.4098305036235)"
"(254, 207.24408792205313)"
"(253, 207.08218713604342)"
"(252, 206.92416036639096)"
"(251, 206.77003873442774)"
"(252, 206.92416036639096)"
"(254, 207.24408792205313)"
"(254, 207.24408792205313)"
"(256, 207.57938157894543)"
"(257, 207.7527067836613)"
"(259, 208.11053692184166)"
"(260, 208.29496797996646)"
"(261, 208.48302545372323)"
"(262, 208.67466994288313)"
"(265, 209.27071733427303)"
"(266, 209.47629712367845)"
"(266, 209.47629712367845)"
"(267, 209.68525301954716)"
"(268, 209.897540187746)"
"(269, 210.11311295309312)"
"(269, 210.11311295309312)"
"(270, 210.33192481782154)"
"(271, 210.55392848003677)"
"(272, 210.77907585217437)"
"(272, 210.77907585217437)"
"(273, 211.0073180794602)"
"(274, 211.23860555836697)"
"(275, 211.47288795507663)"
"(275, 211.47288795507663)"
"(276, 211.71011422393528)"
"(277, 211.9502326259146)"
"(279, 212.43893551699736)"
"(280, 212.68741322729463)"
"(282, 213.19234955614863)"
"(283, 213.44869773403454)"
"(286, 214.2325878300505)"
"(287, 214.49864257209057)"
"(289, 215.0375409971252)"
"(290, 215.31026698720754)"
"(292, 215.86197500038654)"
"(293, 216.14083677622986)"
"(295, 216.70427237377973)"
"(296, 216.98872372614957)"
