coors
"(141, 225)"
"(142, 226)"
"(142, 227)"
"(143, 226)"
"(151, 226)"
"(152, 227)"
"(163, 227)"
"(164, 228)"
"(176, 228)"
"(177, 229)"
"(188, 229)"
"(189, 230)"
"(199, 230)"
"(200, 231)"
"(207, 231)"
"(208, 232)"
"(217, 232)"
"(218, 233)"
"(227, 233)"
"(228, 234)"
"(237, 234)"
"(238, 235)"
"(248, 235)"
"(249, 236)"
"(256, 236)"
"(257, 235)"
"(259, 235)"
"(260, 236)"
"(259, 237)"
"(260, 237)"
"(261, 236)"
"(268, 236)"
"(269, 237)"
"(271, 237)"
"(272, 238)"
"(273, 237)"
"(278, 237)"
"(277, 237)"
"(276, 236)"
"(277, 235)"
"(281, 235)"
"(282, 236)"
"(283, 236)"
"(284, 237)"
"(282, 239)"
"(280, 239)"
"(289, 239)"
"(290, 240)"
"(299, 240)"
"(300, 241)"
"(310, 241)"
"(311, 242)"
"(319, 242)"
"(320, 243)"
"(331, 243)"
"(332, 244)"
"(341, 244)"
"(342, 245)"
"(352, 245)"
"(353, 246)"
"(363, 246)"
"(364, 247)"
"(374, 247)"
"(375, 248)"
"(385, 248)"
"(386, 249)"
"(395, 249)"
"(396, 250)"
"(406, 250)"
"(407, 251)"
"(417, 251)"
"(418, 252)"
"(425, 252)"
"(426, 253)"
"(436, 253)"
"(437, 254)"
"(446, 254)"
"(447, 255)"
"(454, 255)"
"(455, 256)"
"(464, 256)"
"(465, 257)"
"(473, 257)"
"(474, 258)"
"(483, 258)"
"(484, 259)"
"(486, 259)"
"(487, 260)"
"(488, 259)"
"(494, 259)"
"(495, 260)"
"(502, 260)"
"(503, 261)"
"(513, 261)"
"(514, 262)"
"(522, 262)"
"(523, 263)"
"(532, 263)"
"(533, 264)"
"(543, 264)"
"(544, 265)"
"(553, 265)"
"(554, 266)"
"(561, 266)"
"(562, 267)"
"(571, 267)"
"(572, 268)"
"(580, 268)"
"(581, 269)"
"(588, 269)"
"(589, 270)"
"(594, 270)"
"(595, 269)"
"(596, 270)"
"(595, 269)"
"(594, 270)"
"(591, 270)"
"(590, 269)"
"(589, 270)"
"(588, 269)"
"(587, 269)"
"(586, 268)"
"(585, 269)"
"(582, 269)"
"(581, 268)"
"(575, 268)"
"(574, 267)"
"(569, 267)"
"(568, 266)"
"(560, 266)"
"(559, 265)"
"(554, 265)"
"(553, 264)"
"(545, 264)"
"(544, 263)"
"(539, 263)"
"(538, 262)"
"(529, 262)"
"(528, 261)"
"(521, 261)"
"(520, 260)"
"(513, 260)"
"(512, 259)"
"(511, 259)"
"(510, 260)"
"(509, 259)"
"(506, 259)"
"(505, 258)"
"(504, 259)"
"(503, 258)"
"(498, 258)"
"(497, 257)"
"(494, 257)"
"(493, 256)"
"(492, 257)"
"(487, 257)"
"(486, 256)"
"(480, 256)"
"(479, 255)"
"(474, 255)"
"(473, 254)"
"(465, 254)"
"(464, 253)"
"(463, 253)"
"(462, 254)"
"(461, 253)"
"(457, 253)"
"(456, 252)"
"(456, 251)"
"(457, 250)"
"(458, 251)"
"(467, 251)"
"(468, 252)"
"(476, 252)"
"(477, 253)"
"(486, 253)"
"(487, 254)"
"(494, 254)"
"(495, 255)"
"(504, 255)"
"(505, 256)"
"(511, 256)"
"(512, 257)"
"(521, 257)"
"(522, 258)"
"(531, 258)"
"(532, 259)"
"(541, 259)"
"(542, 260)"
"(549, 260)"
"(550, 261)"
"(559, 261)"
"(560, 262)"
"(569, 262)"
"(570, 263)"
"(578, 263)"
"(579, 264)"
"(587, 264)"
"(588, 265)"
"(599, 265)"
"(590, 265)"
"(589, 264)"
"(582, 264)"
"(581, 263)"
"(573, 263)"
"(572, 262)"
"(565, 262)"
"(564, 261)"
"(557, 261)"
"(556, 260)"
"(547, 260)"
"(546, 259)"
"(541, 259)"
"(540, 258)"
"(534, 258)"
"(533, 257)"
"(526, 257)"
"(525, 256)"
"(517, 256)"
"(516, 255)"
"(509, 255)"
"(508, 254)"
"(501, 254)"
"(500, 253)"
"(493, 253)"
"(492, 252)"
"(488, 252)"
"(487, 251)"
"(486, 252)"
"(485, 251)"
"(479, 251)"
"(478, 250)"
"(472, 250)"
"(471, 249)"
"(464, 249)"
"(463, 248)"
"(455, 248)"
"(454, 247)"
"(447, 247)"
"(446, 246)"
"(440, 246)"
"(439, 245)"
"(434, 245)"
"(433, 244)"
"(425, 244)"
"(424, 243)"
"(417, 243)"
"(416, 242)"
"(413, 242)"
"(412, 241)"
"(411, 242)"
"(405, 242)"
"(404, 241)"
"(403, 241)"
"(402, 240)"
"(399, 240)"
"(398, 241)"
"(395, 241)"
"(394, 240)"
